stem_id,domain,difficulty,known_correction_applied,correct_option,wrong_suggestion_option,english_question,english_A,english_B,english_C,english_D,kazakh_question,kazakh_A,kazakh_B,kazakh_C,kazakh_D,semantic_equivalence,answer_preserved,distractors_preserved,language_quality,decision,reviewer,review_date,review_note
master_logic_023,logic,medium,yes,B,D,All red tiles are heavy. No light tiles are heavy. What must follow?,Every heavy tile is red,No light tile is red,Some red tiles are light,Every non-red tile is light,Барлық қызыл тақтайшалар ауыр. Ешбір жеңіл тақтайша ауыр емес. Қандай қорытынды міндетті түрде шығады?,Әрбір ауыр тақтайша қызыл,Ешбір жеңіл тақтайша қызыл емес,Кейбір қызыл тақтайшалар жеңіл,Әрбір қызыл емес тақтайша жеңіл,pending,pending,pending,pending,pending,,,
master_math_055,mathematics,easy,no,D,B,"In which quadrant of the coordinate plane is the point (-3, 4)?",Quadrant I,Quadrant IV,Quadrant III,Quadrant II,"(-3, 4) нүктесі координаталық жазықтықтың қай ширегінде орналасқан?",I квадрант,IV квадрант,III квадрант,II квадрант,pending,pending,pending,pending,pending,,,
master_science_049,science,easy,no,D,A,Which layer of Earth is liquid and composed mainly of iron and nickel?,Crust,Mantle,Inner core,Outer core,Жердің қай қабаты сұйық және негізінен темір мен никельден тұрады?,Жер қыртысы,Мантия,Ішкі ядро ​​,Сыртқы ядро,pending,pending,pending,pending,pending,,,
master_geo_029,geography,easy,no,C,B,Which sea lies between southern Europe and northern Africa?,Caribbean Sea,Baltic Sea,Mediterranean Sea,Arabian Sea,Оңтүстік Еуропа мен Солтүстік Африканың арасында қандай теңіз жатыр?,Кариб теңізі,Балтық теңізі,Жерорта теңізі,Араб теңізі,pending,pending,pending,pending,pending,,,
master_cs_061,computer_science,easy,no,C,A,"In the URL `https://example.com/docs`, which part identifies the protocol scheme?",example.com,/docs,https,com,`https://example.com/docs` URL мекенжайында протокол схемасы қай бөлікте анықталады?,example.com,/docs,https,com,pending,pending,pending,pending,pending,,,
master_math_037,mathematics,medium,no,D,B,A recipe uses 3 cups of flour for 8 servings. How many cups are needed for 20 servings at the same rate?,6 cups,5 cups,8 cups,7.5 cups,Рецепт 8 порция үшін 3 кесе ұн пайдаланады. Бірдей мөлшерде 20 порцияға қанша кесе қажет?,6 кесе,5 кесе,8 кесе,"7,5 кесе",pending,pending,pending,pending,pending,,,
master_cs_047,computer_science,medium,no,C,B,What is the main role of a foreign key in a relational database?,To encrypt every value in a row,To store a duplicate copy of every referenced row,To reference a candidate key in another or the same table,To guarantee that every column contains unique values,Реляциялық деректер қорындағы сыртқы кілттің негізгі рөлі қандай?,Жолдағы әрбір мәнді шифрлау үшін,Әрбір сілтеме жасалған жолдың көшірмелерін сақтау үшін,Басқа немесе сол кестедегі үміткер кілтке сілтеме жасау үшін,Әрбір бағанда бірегей мәндер бар екеніне кепілдік беру,pending,pending,pending,pending,pending,,,
master_cs_023,computer_science,medium,no,C,B,What is the worst-case time complexity of merge sort on n elements?,O(1),O(n squared),O(n log n),O(log n),n элементте біріктіру сұрыптауының ең нашар уақыт күрделілігі қандай?,O(1),O(n квадрат),O(n log n),O(log n),pending,pending,pending,pending,pending,,,
master_science_077,science,medium,no,A,C,"A balance gives readings of 52.1 g, 52.0 g, and 52.1 g for an object whose verified mass is 50.0 g. How are the readings best described?",Precise but inaccurate,Accurate but imprecise,Both accurate and precise,Neither repeatable nor biased,"Тексерілген массасы 50,0 г болатын объект үшін таразы 52,1 г, 52,0 г және 52,1 г көрсеткіштерін береді. Өлшемдер қалай сипатталады?","Қайталануы жоғары, бірақ дұрыстығы төмен","Дұрыстығы жоғары, бірақ қайталануы төмен","Әрі дұрыс, әрі қайталануы жоғары","Қайталануы да жоқ, жүйелі ығысуы да жоқ",pending,pending,pending,pending,pending,,,
master_geo_004,geography,easy,no,A,D,Rome is the capital of which country?,Italy,Greece,Spain,Portugal,Рим қай елдің астанасы?,Италия,Греция,Испания,Португалия,pending,pending,pending,pending,pending,,,
master_cs_030,computer_science,hard,no,A,D,When is dynamic programming most directly applicable to an optimization problem?,When it has overlapping subproblems and optimal substructure,Only when every input is already sorted,Only when no subproblem ever repeats,Whenever a greedy local choice is automatically optimal,Оңтайландыру мәселесіне динамикалық бағдарламалау қай кезде тікелей қолданылады?,Оның қабаттасатын ішкі проблемалары және оңтайлы ішкі құрылымы болған кезде,Әрбір кіріс сұрыпталған кезде ғана,Ешбір ішкі мәселе ешқашан қайталанбайтын кезде ғана,Ашкөз жергілікті таңдау автоматты түрде оңтайлы болған кезде,pending,pending,pending,pending,pending,,,
